categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
104586,10479917,COMPRA LOCAL,FORD,EXPLORER PLATINUM AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-24,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,BLA,BLA,NATURAL,SAN MIGUEL DE LOS BANCOS
104586,10479917,COMPRA LOCAL,FORD,EXPLORER PLATINUM AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-26,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,BLA,BLA,NATURAL,SAN MIGUEL DE LOS BANCOS
104572,10469279,COMPRA LOCAL,HONDA,WR-V EXL ELEVATE 1.5 5P 4X2 TA,BRASIL,2026,JEEP,JEEP,LIVIANO,29590.0,2025-12-30,PAR,1498,GASOLINA,2025-12-30,QUITO,PLA,,NATURAL,QUITO
104543,10479893,COMPRA LOCAL,FORD,EXPLORER ACTIVE AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-26,PAR,2261,GASOLINA,2025-12-26,SAN MIGUEL DE LOS BANCOS,BLA,BLA,NATURAL,SAN MIGUEL DE LOS BANCOS
104543,10479873,COMPRA LOCAL,FORD,EXPLORER ACTIVE AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-24,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,NEG,NEG,NATURAL,SAN MIGUEL DE LOS BANCOS
104543,10479873,COMPRA LOCAL,FORD,EXPLORER ACTIVE AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-26,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,NEG,NEG,NATURAL,SAN MIGUEL DE LOS BANCOS
104543,10479885,COMPRA LOCAL,FORD,EXPLORER ACTIVE AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-24,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,BLA,BLA,NATURAL,SAN MIGUEL DE LOS BANCOS
104543,10479903,COMPRA LOCAL,FORD,EXPLORER ACTIVE AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-24,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,NEG,NEG,NATURAL,SAN MIGUEL DE LOS BANCOS
104543,10479903,COMPRA LOCAL,FORD,EXPLORER ACTIVE AC 2.3 5P 4X4 TA,ESTADOS UNIDOS,2026,JEEP,JEEP,LIVIANO,47255.14,2025-12-26,PAR,2261,GASOLINA,2025-12-24,SAN MIGUEL DE LOS BANCOS,NEG,NEG,NATURAL,SAN MIGUEL DE LOS BANCOS
104543,10457700,IMPORTACI?N DIRECTA,CAN-AM,MAVERICK R X RS,MEXICO,2024,MOTOCICLETA,CUADRON,LIVIANO,37626.11,2025-12-15,PAR,999,GASOLINA,2025-12-11,MONTECRISTI,NEG,NEG,NATURAL,MONTECRISTI
