categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
103163,10411562,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-02,ALQ,200,GASOLINA,2025-11-28,QUEVEDO,NEG,NEG,NATURAL,QUEVEDO
103163,10316517,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-09,PAR,200,GASOLINA,2025-11-27,PINDAL,ROJ,,NATURAL,PINDAL
103163,10316517,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-15,PAR,200,GASOLINA,2025-11-27,PINDAL,ROJ,,NATURAL,PINDAL
103163,10318449,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-28,PAR,200,GASOLINA,2025-11-27,PUERTO QUITO,NEG,NEG,NATURAL,PUERTO QUITO
103163,10411538,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-02,PAR,200,GASOLINA,2025-11-27,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
103163,10426524,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-05,PAR,200,GASOLINA,2025-11-27,BABAHOYO,NEG,NEG,NATURAL,BABAHOYO
103163,10239819,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-27,PAR,200,GASOLINA,2025-11-26,SALCEDO,NEG,BLA,NATURAL,SALCEDO
103163,10277546,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-26,PAR,200,GASOLINA,2025-11-25,LA TRONCAL,NEG,NEG,NATURAL,LA TRONCAL
103163,10282656,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-25,PAR,200,GASOLINA,2025-11-24,PASAJE,NEG,NEG,NATURAL,PASAJE
103163,10412381,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-26,PAR,200,GASOLINA,2025-11-24,ESMERALDAS,ROJ,,NATURAL,ESMERALDAS
103163,10282652,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-24,PAR,200,GASOLINA,2025-11-23,PASAJE,NEG,NEG,NATURAL,PASAJE
103163,10386005,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-26,PAR,200,GASOLINA,2025-11-23,IBARRA,NEG,NEG,NATURAL,IBARRA
103163,10221959,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-21,PAR,200,GASOLINA,2025-11-21,EL CARMEN,NEG,NEG,NATURAL,EL CARMEN
103163,10282662,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-22,PAR,200,GASOLINA,2025-11-21,PASAJE,NEG,NEG,NATURAL,PASAJE
103163,10277544,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-12,PAR,200,GASOLINA,2025-11-20,GUALAQUIZA,ROJ,ROJ,NATURAL,GUALAQUIZA
103163,10277544,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-15,PAR,200,GASOLINA,2025-11-20,GUALAQUIZA,ROJ,ROJ,NATURAL,GUALAQUIZA
103163,10297950,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-19,PAR,200,GASOLINA,2025-11-19,MOCACHE,AZU,AZU,NATURAL,MOCACHE
103163,10282538,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-18,PAR,200,GASOLINA,2025-11-18,SANTO DOMINGO,ROJ,,NATURAL,SANTO DOMINGO
103163,10316499,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-18,PAR,200,GASOLINA,2025-11-18,SALCEDO,NEG,NEG,NATURAL,SALCEDO
103163,10223519,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-17,PAR,200,GASOLINA,2025-11-17,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
103163,10239830,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-19,PAR,200,GASOLINA,2025-11-17,EL EMPALME,NEG,,NATURAL,EL EMPALME
103163,10239833,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-24,PAR,200,GASOLINA,2025-11-17,PICHINCHA,NEG,NEG,NATURAL,PICHINCHA
103163,10282653,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-18,PAR,200,GASOLINA,2025-11-17,PASAJE,NEG,NEG,NATURAL,PASAJE
103163,10316535,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-17,PAR,200,GASOLINA,2025-11-17,ZARUMA,ROJ,ROJ,NATURAL,ZARUMA
103163,10400457,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-20,PAR,200,GASOLINA,2025-11-17,QUITO,NEG,NEG,NATURAL,QUITO
103163,10238481,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-19,PAR,200,GASOLINA,2025-11-16,MACHALA,NEG,NEG,NATURAL,MACHALA
103163,10374339,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-27,PAR,200,GASOLINA,2025-11-16,PEDERNALES,NEG,NEG,NATURAL,PEDERNALES
103163,10221971,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-17,PAR,200,GASOLINA,2025-11-15,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10243937,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-15,PAR,200,GASOLINA,2025-11-15,QUEVEDO,NEG,NEG,NATURAL,QUEVEDO
103163,10316496,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-15,PAR,200,GASOLINA,2025-11-15,ZARUMA,NEG,NEG,NATURAL,ZARUMA
103163,10316519,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-15,PAR,200,GASOLINA,2025-11-15,PIÑAS,NEG,BLA,NATURAL,PIÑAS
103163,10364900,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-17,PAR,200,GASOLINA,2025-11-15,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10207395,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-15,PAR,200,GASOLINA,2025-11-14,QUITO,NEG,NEG,NATURAL,QUITO
103163,10374336,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-14,PAR,200,GASOLINA,2025-11-14,PICHINCHA,NEG,NEG,NATURAL,PICHINCHA
103163,10316528,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-18,PAR,200,GASOLINA,2025-11-13,URDANETA,NEG,NEG,NATURAL,URDANETA
103163,10316529,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-18,PAR,200,GASOLINA,2025-11-13,URDANETA,NEG,NEG,NATURAL,URDANETA
103163,10364925,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-13,PAR,200,GASOLINA,2025-11-13,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10221993,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-13,PAR,200,GASOLINA,2025-11-12,SANTO DOMINGO,ROJ,ROJ,NATURAL,SANTO DOMINGO
103163,10243935,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-13,PAR,200,GASOLINA,2025-11-12,PASAJE,NEG,BLA,NATURAL,PASAJE
103163,10243935,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-14,PAR,200,GASOLINA,2025-11-12,PASAJE,NEG,BLA,NATURAL,PASAJE
103163,10331283,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-22,PAR,200,GASOLINA,2025-11-12,PICHINCHA,ROJ,ROJ,NATURAL,PICHINCHA
103163,10221969,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-11,PAR,200,GASOLINA,2025-11-11,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10223349,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-11,PAR,200,GASOLINA,2025-11-10,PASAJE,ROJ,ROJ,NATURAL,PASAJE
103163,10260117,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-10,LOJA,ROJ,ROJ,NATURAL,LOJA
103163,10340858,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-10,BABAHOYO,AZU,AZU,NATURAL,BABAHOYO
103163,10364927,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-10,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10367124,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-10,BABAHOYO,NEG,NEG,NATURAL,BABAHOYO
103163,10378220,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-11,PAR,200,GASOLINA,2025-11-10,VENTANAS,NEG,NEG,NATURAL,VENTANAS
103163,10461632,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-15,PAR,200,GASOLINA,2025-11-10,SUCUMBIOS,NEG,BLA,NATURAL,SUCUMBIOS
103163,10318452,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-09,PAR,200,GASOLINA,2025-11-09,PUERTO QUITO,ROJ,ROJ,NATURAL,PUERTO QUITO
103163,10238498,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-12,PAR,200,GASOLINA,2025-11-08,MACHALA,NEG,NEG,NATURAL,MACHALA
103163,10238502,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-08,MACHALA,NEG,NEG,NATURAL,MACHALA
103163,10238502,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-13,PAR,200,GASOLINA,2025-11-08,MACHALA,NEG,NEG,NATURAL,MACHALA
103163,10364901,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-13,PAR,200,GASOLINA,2025-11-08,SANTO DOMINGO,ROJ,ROJ,NATURAL,SANTO DOMINGO
103163,10367126,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-08,PAR,200,GASOLINA,2025-11-08,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
103163,10221980,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-08,PAR,200,GASOLINA,2025-11-07,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10238489,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-07,CALUMA,NEG,NEG,NATURAL,CALUMA
103163,10243940,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-09,PAR,200,GASOLINA,2025-11-07,LA MANA,NEG,,NATURAL,LA MANA
103163,10260128,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-26,PAR,200,GASOLINA,2025-11-06,MORONA,BLA,BLA,NATURAL,MORONA
103163,10364918,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-07,PAR,200,GASOLINA,2025-11-06,SANTO DOMINGO,ROJ,ROJ,NATURAL,SANTO DOMINGO
103163,10367114,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-06,QUEVEDO,BLA,,NATURAL,QUEVEDO
103163,10223526,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-05,PAR,200,GASOLINA,2025-11-05,LOJA,ROJ,ROJ,NATURAL,LOJA
103163,10223526,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-06,PAR,200,GASOLINA,2025-11-05,LOJA,ROJ,ROJ,NATURAL,LOJA
103163,10375086,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-17,PAR,200,GASOLINA,2025-11-05,TENA,AZU,AZU,NATURAL,TENA
103163,10221972,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-14,PAR,200,GASOLINA,2025-11-04,LORETO,NEG,NEG,NATURAL,LORETO
103163,10221990,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-04,PAR,200,GASOLINA,2025-11-03,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10297964,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-04,PAR,200,GASOLINA,2025-11-03,LA TRONCAL,NEG,NEG,NATURAL,LA TRONCAL
103163,10340855,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-26,PAR,200,GASOLINA,2025-11-03,ESPINDOLA,ROJ,,NATURAL,ESPINDOLA
103163,10374131,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-11,PAR,200,GASOLINA,2025-11-03,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
103163,10374335,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-11-02,PEDERNALES,NEG,NEG,NATURAL,PEDERNALES
103163,10207377,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-01,PAR,200,GASOLINA,2025-11-01,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10243941,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-02,PAR,200,GASOLINA,2025-11-01,SALCEDO,NEG,NEG,NATURAL,SALCEDO
103163,10252848,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-04,PAR,200,GASOLINA,2025-11-01,PEDERNALES,ROJ,ROJ,NATURAL,PEDERNALES
103163,10297959,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-01,PAR,200,GASOLINA,2025-11-01,PIÑAS,AZU,AZU,NATURAL,PIÑAS
103163,10316525,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-01,PAR,200,GASOLINA,2025-11-01,URDANETA,NEG,NEG,NATURAL,URDANETA
103163,10340844,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-08,PAR,200,GASOLINA,2025-11-01,ESPINDOLA,AZU,,NATURAL,ESPINDOLA
103163,10340844,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-09,PAR,200,GASOLINA,2025-11-01,ESPINDOLA,AZU,,NATURAL,ESPINDOLA
103163,10223516,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-05,PAR,200,GASOLINA,2025-10-31,MOCACHE,NEG,NEG,NATURAL,MOCACHE
103163,10238495,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-13,PAR,200,GASOLINA,2025-10-31,MARCABELI,NEG,NEG,NATURAL,MARCABELI
103163,10238495,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-14,PAR,200,GASOLINA,2025-10-31,MARCABELI,NEG,NEG,NATURAL,MARCABELI
103163,10252847,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-04,PAR,200,GASOLINA,2025-10-31,PEDERNALES,NEG,NEG,NATURAL,PEDERNALES
103163,10221957,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-30,PAR,200,GASOLINA,2025-10-30,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10221992,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-30,PAR,200,GASOLINA,2025-10-30,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10296644,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-30,PAR,200,GASOLINA,2025-10-30,CAYAMBE,BLA,BLA,NATURAL,CAYAMBE
103163,10316516,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-03,PAR,200,GASOLINA,2025-10-30,LA TRONCAL,NEG,NEG,NATURAL,LA TRONCAL
103163,10364660,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-06,PAR,200,GASOLINA,2025-10-30,BABAHOYO,NEG,NEG,NATURAL,BABAHOYO
103163,10221932,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-29,PAR,200,GASOLINA,2025-10-29,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
103163,10316502,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-31,PAR,200,GASOLINA,2025-10-29,URDANETA,NEG,NEG,NATURAL,URDANETA
103163,10316526,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-31,PAR,200,GASOLINA,2025-10-29,URDANETA,NEG,NEG,NATURAL,URDANETA
103163,10221989,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-29,PAR,200,GASOLINA,2025-10-28,SANTO DOMINGO,AZU,AZU,NATURAL,SANTO DOMINGO
103163,10243934,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-28,PAR,200,GASOLINA,2025-10-28,ZAMORA,BLA,BLA,NATURAL,ZAMORA
103163,10316510,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-30,PAR,200,GASOLINA,2025-10-28,LOJA,ROJ,BLA,NATURAL,LOJA
103163,10364895,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-17,PAR,200,GASOLINA,2025-10-28,JARAMIJO,NEG,NEG,NATURAL,JARAMIJO
103163,10331280,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-10,PAR,200,GASOLINA,2025-10-27,PEDERNALES,NEG,NEG,NATURAL,PEDERNALES
103163,10243929,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-27,PAR,200,GASOLINA,2025-10-26,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
103163,10318458,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-27,PAR,200,GASOLINA,2025-10-26,PORTOVIEJO,ROJ,ROJ,NATURAL,PORTOVIEJO
103163,10331282,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-27,PAR,200,GASOLINA,2025-10-26,SANTO DOMINGO,ROJ,,NATURAL,SANTO DOMINGO
103163,10331282,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-29,PAR,200,GASOLINA,2025-10-26,SANTO DOMINGO,ROJ,,NATURAL,SANTO DOMINGO
103163,10340843,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-08,PAR,200,GASOLINA,2025-10-26,MACARA,AZU,AZU,NATURAL,MACARA
103163,10340843,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-12-09,PAR,200,GASOLINA,2025-10-26,MACARA,AZU,AZU,NATURAL,MACARA
103163,10221998,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-25,PAR,200,GASOLINA,2025-10-25,QUITO,ROJ,ROJ,NATURAL,QUITO
103163,10221929,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-07,PAR,200,GASOLINA,2025-10-24,RIOBAMBA,ROJ,BLA,NATURAL,RIOBAMBA
103163,10221951,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-24,PAR,200,GASOLINA,2025-10-24,SANTO DOMINGO,AZU,AZU,NATURAL,SANTO DOMINGO
103163,10252823,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-24,PAR,200,GASOLINA,2025-10-24,CHONE,NEG,NEG,NATURAL,CHONE
103163,10297953,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-11-27,PAR,200,GASOLINA,2025-10-24,CAMILO PONCE ENRIQUEZ,ROJ,ROJ,NATURAL,CAMILO PONCE ENRIQUEZ
103163,10344330,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-29,PAR,200,GASOLINA,2025-10-24,EL EMPALME,BLA,BLA,NATURAL,EL EMPALME
103163,10243931,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-27,PAR,200,GASOLINA,2025-10-23,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
103163,10316501,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-24,PAR,200,GASOLINA,2025-10-23,VENTANAS,ROJ,ROJ,NATURAL,VENTANAS
103163,10238480,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-24,PAR,200,GASOLINA,2025-10-22,MACHALA,NEG,NEG,NATURAL,MACHALA
103163,10331279,COMPRA LOCAL,RANGER,200GY-2,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,1238.85,2025-10-23,PAR,200,GASOLINA,2025-10-22,SANTO DOMINGO,NEG,NEG,NATURAL,SANTO DOMINGO
