AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|9|P|AZUAY|EL PAN|600,0000|0,0000|0,0000|0,0000|0,0000|7,0000|0,0000|0,0000|0,0000|7,0000|600,0000
2025|9|D|MANABI|BOLIVAR|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|10|F|EL ORO|LAS LAJAS|1653,2000|1087,3500|0,0000|0,0000|0,0000|13367,2300|1732,1600|0,0000|1274,6400|16617,4600|2740,5500
2025|10|F|PICHINCHA|QUITO|152123544,1100|23947573,3300|397,5600|1564438,9000|1020450,9800|104684312,9100|16504910,7500|4687583,9300|3689561,3700|140673553,2800|178656404,8800
2025|10|R|GALAPAGOS|SANTA CRUZ|52723,0400|10702,0000|0,0000|0,0000|0,0000|6563,0800|5688,7000|0,0000|400,0000|12651,7800|63425,0400
2025|10|G|GUAYAS|MILAGRO|18756160,4600|19413752,6800|0,0000|1456139,5700|3864423,4200|19829409,7700|18549082,3300|1511853,8700|328829,7100|41552473,2100|43490476,1300
2025|10|M|GALAPAGOS|SAN CRISTOBAL|260708,8600|44820,6900|0,0000|0,0000|5100,0000|136288,1700|32908,3000|0,0000|10812,8800|182357,0600|310629,5500
2025|10|R|ESMERALDAS|ATACAMES|4915,0000|12671,3000|0,0000|0,0000|0,0000|8336,3300|2865,7800|0,0000|0,0000|11202,1100|17586,3000
2025|10|S|SUCUMBIOS|GONZALO PIZARRO|6864,1900|13160,9500|0,0000|0,0000|0,0000|7001,4800|7598,5700|0,0000|0,0000|14880,5900|20025,1400
2025|10|G|ZAMORA CHINCHIPE|PALANDA|472743,6500|164413,6700|0,0000|29303,6400|0,0000|516563,7200|117611,2100|0,0000|0,0000|652386,1900|666460,9600
2025|10|I|GUAYAS|PLAYAS|207053,2600|82524,6600|31258,8900|0,0000|0,0000|197431,5400|104131,4900|765,3900|1487,5000|305315,3300|320836,8100
2025|10|G|GUAYAS|SAMBORONDON|81140381,9800|59985479,1500|53526,2300|2160747,9400|75449835,1900|84510344,3900|73415359,2600|26316600,6200|763045,6600|188279328,0200|218789970,4900
2025|10|G|PICHINCHA|CAYAMBE|8762559,1100|7882884,3200|0,0000|1482116,2700|3443525,2900|8135775,8300|7899722,6100|1509608,5300|220704,4000|18315060,9600|21571084,9900
2025|10|G|MORONA SANTIAGO|PALORA|723193,2000|833461,6000|0,0000|18450,1300|371644,4000|802892,6100|1200166,4600|778,8500|10600,3700|2024989,8800|1946749,3300
2025|10|C|SANTA ELENA|SALINAS|406935,7500|141333,7900|0,0000|0,0000|0,0000|393876,7200|44836,8500|0,0000|50143,8700|489147,6500|548269,5400
2025|10|A|EL ORO|PASAJE|66034,9900|6619844,2200|0,0000|0,0000|380359,0700|764762,5500|3923652,8800|2195,1900|313310,7500|5014102,6500|7066238,2800
2025|10|P|CHIMBORAZO|RIOBAMBA|356817,1500|2411847,7000|0,0000|7280,2500|0,0000|2897891,6500|633657,0300|594,2400|91825,2600|3626954,6300|2775945,1000
2025|10|S|SUCUMBIOS|CASCALES|27684,9300|61932,6000|0,0000|0,0000|0,0000|33970,0100|10122,2600|0,0000|0,0000|44170,8400|89617,5300
2025|10|M|EL ORO|PASAJE|985950,8100|476187,1900|0,0000|16573,1400|2000,0000|638958,4800|381128,7900|0,0000|148045,1600|1229530,6800|1480711,1400
2025|10|S|GUAYAS|NARANJITO|103318,0700|366858,0100|0,0000|0,0000|0,0000|56342,4800|327408,4600|0,0000|1130,0000|384880,9400|470176,0800
2025|10|A|LOS RIOS|BABA|58059,9900|8103146,7600|0,0000|0,0000|0,0000|1083466,5900|3654042,7200|58959,3300|120908,6400|4929872,0900|8161206,7500
2025|10|C|PICHINCHA|RUMIÑAHUI|45296741,9100|11573611,9800|16826,6200|243565,3000|1973570,2900|20547407,3700|11084506,3300|10993897,7700|293354,4200|43435696,4600|59104316,1000
2025|10|G|LOJA|SARAGURO|1688034,9600|741650,0900|0,0000|41363,3200|0,0000|1815981,8400|730604,5400|121,4500|8018,8200|2610803,5200|2471048,3700
2025|10|S|NAPO|TENA|224882,5800|219337,6700|0,0000|1,0000|0,0000|365601,0200|158538,9300|0,0000|116988,6300|644323,1600|444221,2500
2025|10|G|LOS RIOS|QUEVEDO|22961485,6400|41047429,1400|0,0000|1750815,4900|22242366,8400|25612363,6100|52037472,8200|2819713,8900|1249200,7600|83406414,4500|88002097,1100
2025|10|G|SANTO DOMINGO DE LOS TSACHILAS|SANTO DOMINGO|155351063,8000|59366329,4500|0,0000|4019545,4000|11944385,7400|142807754,0100|63546592,4500|12256473,1900|2467536,8300|224428102,0600|230681324,3900
